2025-04-15 05:10:32.123 | INFO | O-DU | Starting O-DU initialization with Cell-ID=12345
2025-04-15 05:10:32.125 | INFO | O-DU | Loading configuration from /etc/oran/o-du.conf
2025-04-15 05:10:32.128 | INFO | O-DU | Configuration loaded successfully
2025-04-15 05:10:32.130 | INFO | O-DU | Initializing fronthaul interface for Cell-ID=12345
2025-04-15 05:10:32.135 | INFO | O-DU | Starting E2 agent for Near-RT RIC connection
2025-04-15 05:10:32.138 | INFO | O-DU | E2 agent started successfully, connecting to Near-RT RIC at 10.10.20.30:36421
2025-04-15 05:10:32.145 | INFO | O-DU | Establishing E2 connection to Near-RT RIC
2025-04-15 05:10:32.203 | WARN | O-DU | E2 connection attempt 1 failed, retrying...
2025-04-15 05:10:33.210 | INFO | O-DU | E2 connection established successfully with Near-RT RIC
2025-04-15 05:10:33.215 | INFO | O-DU | Registering with Near-RT RIC
2025-04-15 05:10:33.225 | INFO | O-DU | Registration with Near-RT RIC completed
2025-04-15 05:10:33.230 | INFO | O-DU | Starting F1 interface for O-CU-CP connection
2025-04-15 05:10:33.235 | INFO | O-DU | F1 interface started, listening on 10.20.30.40:38472
2025-04-15 05:10:33.240 | INFO | O-DU | Starting F1 interface for O-CU-UP connection
2025-04-15 05:10:33.245 | INFO | O-DU | F1 interface started, listening on 10.20.30.40:38473
2025-04-15 05:10:33.250 | INFO | O-DU | Waiting for O-CU-CP connection
2025-04-15 05:10:33.350 | INFO | O-DU | Received F1 Setup Request from O-CU-CP at 10.20.30.50
2025-04-15 05:10:33.355 | INFO | O-DU | Processing F1 Setup Request from O-CU-CP
2025-04-15 05:10:33.360 | INFO | O-DU | Sending F1 Setup Response to O-CU-CP
2025-04-15 05:10:33.365 | INFO | O-DU | F1-C connection established with O-CU-CP
2025-04-15 05:10:33.370 | INFO | O-DU | Waiting for O-CU-UP connection
2025-04-15 05:10:33.470 | INFO | O-DU | Received F1 Setup Request from O-CU-UP at 10.20.30.51
2025-04-15 05:10:33.475 | INFO | O-DU | Processing F1 Setup Request from O-CU-UP
